ts,underlying,underlying_kind,underlying_px,contract,option_type,style,expiry,dte,strike,multiplier,bid,ask,last,mid,spread,spread_bps,volume,open_interest,iv,delta,gamma,theta,vega,intrinsic,extrinsic,expected_buy_fill,expected_sell_fill,mid_in_nbbo,has_bar,has_quotes,has_trades,quality,resolution,source
2025-07-02T03:27:10.781682+00:00,UNH,stock,545.830579,O:UNH251025C00557500,C,american,2025-10-25,60,557.5,100,39.72917,39.944884,39.815195,39.837027,0.215714,54.15,11,1379,0.496928,0.508066,0.0036269444,-0.38504692,88.269027,0.0,39.837027,39.901741,39.772313,1,1,1,1,OK,5m,rest
2025-07-01T01:19:10.781682+00:00,SPX,index,5364.388783,O:SPXW250831P05345000,P,european,2025-08-31,5,5345.0,100,58.729535,58.961703,58.903177,58.845619,0.232168,39.45,31,476,0.276483,-0.444024,0.0022755148,-6.65638429,248.007942,0.0,58.845619,58.915269,58.775969,1,1,1,1,OK,1m,flatfile
2025-06-29T00:06:10.781682+00:00,VIX,index,15.428703,O:VIX250826C00015000,C,european,2025-08-26,0,15.0,100,0.423977,0.437757,0.431073,0.430867,0.013779,319.8,143,533,0.204001,0.996,0.0719104528,-0.00220356,0.009567,0.428703,0.002164,0.435001,0.426733,1,1,1,1,OK,5m,rest
2025-07-01T02:17:10.781682+00:00,SPY,etf,544.148306,O:SPY250909C00546000,C,american,2025-09-09,14,546.0,100,9.726764,9.940691,9.837086,9.833727,0.213928,217.54,123,491,0.245027,0.490897,0.0152738603,-0.3930996,42.504201,0.0,9.833727,9.897906,9.769549,1,1,1,1,OK,1m,flatfile
2025-06-30T22:36:10.781682+00:00,UNH,stock,498.15657,O:UNH250831C00512500,C,american,2025-08-31,5,512.5,100,4.800063,5.060647,4.921445,4.930355,0.260583,528.53,330,330,0.446699,0.305396,0.0134568842,-0.92491491,20.434712,0.0,4.930355,5.00853,4.85218,1,1,1,1,OK,1m,rest
2025-07-02T04:55:10.781682+00:00,AMD,stock,198.16903,O:AMD250827P00199000,P,american,2025-08-27,1,199.0,100,2.627817,2.67426,2.644034,2.651039,0.046443,175.19,85,101,0.534562,-0.552754,0.0713186443,-1.08712687,4.101852,0.83097,1.820069,2.664972,2.637106,1,1,1,1,OK,1m,flatfile
2025-06-28T04:51:10.781682+00:00,SPX,index,5496.433768,O:SPXW250925C05520000,C,european,2025-09-25,30,5520.0,100,134.816248,135.081074,134.877995,134.948661,0.264827,19.62,58,1464,0.222337,0.50137,0.0011386768,-2.54491139,628.640996,0.0,134.948661,135.028109,134.869213,1,1,1,1,OK,1m,flatfile
2025-07-01T09:57:10.781682+00:00,XSP,index,540.57577,O:XSP250826C00541500,C,european,2025-08-26,0,541.5,100,1.69369,1.998512,1.888408,1.846101,0.304822,1651.17,58,237,0.199629,0.440227,0.0698335686,-1.13345383,11.161145,0.0,1.846101,1.937547,1.754654,1,1,1,1,OK,1m,rest
2025-07-02T05:18:10.781682+00:00,VIX,index,14.558584,O:VIX250828C00017000,C,european,2025-08-28,2,17.0,100,0.0,0.006605,0.0,0.0,0.013209,132.09,77,423,0.191314,0.0,0.0,-0.0,0.0,0.0,0.0,0.003963,0.0,1,1,1,1,OK,1m,rest
2025-06-28T02:34:10.781682+00:00,NVDA,stock,119.089977,O:NVDA250909C00115000,C,american,2025-09-09,14,115.0,100,5.555253,5.594763,5.567954,5.575008,0.03951,70.87,4,195,0.32906,0.723193,0.043616325,-0.09837475,7.807461,4.089977,1.485031,5.586861,5.563155,1,1,1,1,OK,1m,rest
